date,year,month,week,weekday,year_month,StepCount,DistanceWalkingRunning,DistanceCycling,ActiveEnergyBurned,BasalEnergyBurned,AppleExerciseTime,AppleStandTime,AppleStandHour,FlightsClimbed,RestingHeartRate,HeartRateVariabilitySDNN,HeartRate,WalkingHeartRateAverage,HRFitnessIndex,WalkingSpeed,WalkingStepLength,WalkingAsymmetryPercentage,WalkingDoubleSupportPercentage,SixMinuteWalkTestDistance,AppleWalkingSteadiness,MobilityIndex,StabilityIndex,TimeInDaylight,HeadphoneAudioExposure,EnergyBalance
2022-01-01,2022,1,52,Saturday,2022-01,8993.428306022466,7.273377835134063,0.0,503.3794077671267,1496.803371615282,26.528817418418424,53.1280610995163,0.8854676849919384,8,56.95555223053002,,34.296397258953505,69.97193676053905,100.92996992931127,3.9895179127337586,59.032971948510486,0.09826846388047411,0.2261950765278577,,,53.781180976770194,0.0,,81.34376166617884,0.8000731117529635
2022-01-02,2022,1,52,Sunday,2022-01,7757.8981099693,4.208117803443333,0.0,509.13851126847067,1555.97407956136,,15.647690869632001,0.2607948478272,5,62.063546678344245,48.454277388902646,61.120109724801374,97.23502342213736,78.07204064573664,3.178423001399444,74.2897781852333,0.003170846373642166,0.27813549187862807,,,58.48877896321531,0.21959158358780398,,,0.8260450363319324
2022-01-03,2022,1,1,Monday,2022-01,9364.220299446875,8.407703914259983,0.0,525.3018073541092,1728.8075724852379,40.181853557182976,186.40262545723903,3.106710424287317,5,45.0,,74.37934268813103,82.31304263568686,141.7267198789316,2.886719710049017,57.97842789186752,0.012328669999683482,0.18537854186999436,,,41.55983363420802,0.2458258002040554,,90.70081035919578,0.9016437519357389
2022-01-04,2022,1,1,Tuesday,2022-01,11149.299047262559,9.26592771370804,0.0,572.5213041334507,1601.4508999262655,,0.0,0.0,3,68.21061535713147,42.98447759058132,88.66486990542593,94.25108016752233,63.017284575907674,3.407097194950111,66.36639123147042,0.11181731599237561,0.22931996428373663,,0.6701185141735542,42.86278321258703,0.004423993065129875,,89.71264304894248,0.8695888816238865
2022-01-05,2022,1,1,Wednesday,2022-01,7669.298104157968,7.133448593186026,0.0,433.0832428554972,1476.3864203969538,,107.75221386763702,1.7958702311272838,11,59.84792802072222,43.42496227945084,103.44496835136576,105.19541960224812,72.55883990572745,3.4696572833990396,63.481773603456155,0.00649032088937975,0.2688358423934679,,,54.69500788357624,0.25199502473045404,,71.66254032175421,0.7637878653009804
2022-01-06,2022,1,1,Thursday,2022-01,7703.655683576531,3.2666691686675358,0.0,450.52527077846844,1725.433836075734,32.543015245285766,307.06086775248286,5.117681129208048,7,73.88779185862201,37.22049859172826,117.0661885468943,107.10343310486815,50.37435502599199,3.045673859042271,69.0509077684965,0.04966206061896508,0.28456312455044025,,,45.842530893193036,0.3305983211966993,,72.89108600918053,0.8703836427416809
2022-01-07,2022,1,1,Friday,2022-01,11364.629025909653,11.180077925508451,0.0,603.4141158125975,1673.100062678548,36.26063663611953,119.27738682240411,1.9879564470400686,6,68.1198970492268,66.38943945569687,94.61559272828599,99.94642212215267,97.45968847797964,4.548080638025476,58.15113877874856,0.012008850532593512,0.212338376166769,,,45.860701573050974,0.22179999280768073,,,0.9106056713964583
2022-01-08,2022,1,1,Saturday,2022-01,9775.285548104523,7.680638810328444,0.0,426.61969656915323,1653.8434957216452,,52.75394095822503,0.8792323493037505,6,73.99084934939383,45.25628464757244,98.6894230844045,90.95706227773093,61.16470488650122,3.2606518094960273,65.72066782032086,0.04655332381495813,0.2279604151994043,,,44.722944189292896,0.17279943431440717,,74.4431918714495,0.8321852769163194
2022-01-09,2022,1,1,Sunday,2022-01,7335.608772356626,6.976669834622818,0.0,402.59629680985097,1671.573424117084,21.76943418184392,116.55615217279238,1.9426025362132064,6,,31.997859974570666,77.31800249048129,87.60302071801118,56.80526833989633,2.9231703242867155,66.34978061876701,0.024152754863915195,0.32302783177917727,,0.6556586936981427,45.89414489191995,0.3256476189405447,,71.41182264076615,0.829667888370774
2022-01-10,2022,1,2,Monday,2022-01,9393.737728500493,6.475084255674864,0.0,443.1836944172028,1839.436190058245,21.581331827885915,116.951952682828,1.9491992113804666,6,73.3046225438524,38.14559859353299,53.478392275660056,100.47253531989733,52.03709843906975,3.4531893404646943,66.84144644983375,0.005361273593237127,0.30809543098140224,,0.785687360252866,44.0347055127867,0.1473298809532454,,73.39326634990837,0.9130479537901792
